date,value
01-03-12,328.9
01-04-12,331.475
01-05-12,328.82
01-06-12,326.225
01-07-12,322.5
01-08-12,318
01-09-12,315.875
01-10-12,311.51
01-11-12,311.46
01-12-12,313.67
01-13-12,310.835
01-14-12,311
01-15-12,311.75
01-16-12,312.5
01-17-12,313.24
01-18-12,312.86
01-19-12,316.925
01-20-12,292.08
01-21-12,292
01-22-12,291.94
01-23-12,291.86
01-24-12,290.33
01-25-12,285.2
01-26-12,283.695
01-27-12,286.34
01-28-12,286.98
01-29-12,287.11
01-30-12,287.275
01-31-12,288.705
02-01-12,290.075
02-02-12,291.03
02-03-12,295.175
02-04-12,297
02-05-12,299.2
02-06-12,300.085
02-07-12,302.155
02-08-12,302.885
02-09-12,304.73
02-10-12,301.9
02-11-12,302
02-12-12,303
02-13-12,304.82
02-14-12,303.055
02-15-12,302.735
02-16-12,300.51
02-17-12,301.38
02-18-12,302
02-19-12,302.99
02-20-12,303.88
02-21-12,304.05
02-22-12,304.73
02-23-12,300.94
02-24-12,303.15
02-25-12,303.17
02-26-12,303.19
02-27-12,303.22
02-28-12,305.72
02-29-12,309.115
03-01-12,309.8
03-02-12,309.915
03-05-12,307.315
03-06-12,299.54
03-07-12,303.125
03-08-12,303.325
03-09-12,301.845
03-12-12,300.44
03-13-12,304.705
03-14-12,307.905
03-15-12,308.43
03-16-12,310.33
03-19-12,313.455
03-20-12,314.65
03-21-12,318.78
03-22-12,318.755
03-23-12,321.145
03-26-12,321.055
03-27-12,323.365
03-28-12,326.195
03-29-12,324.01
03-30-12,322.41
04-02-12,319.385
04-03-12,320.45
04-04-12,316.34
04-05-12,315.07
04-09-12,313.98
04-10-12,313.59
04-11-12,315.64
04-12-12,322.14
04-13-12,316.945
04-16-12,305.225
04-17-12,305.03
04-18-12,302.77
04-19-12,302.68
04-20-12,300.045
04-23-12,296.055
04-24-12,299.86
04-25-12,302.42
04-26-12,305.78
04-27-12,305.69
04-30-12,303.035
05-01-12,301.815
05-02-12,301.05
05-03-12,304.805
05-04-12,300.05
05-07-12,300.265
05-08-12,303.265
05-09-12,303.41
05-10-12,305.46
05-11-12,303.695
05-14-12,301.14
05-15-12,303.55
05-16-12,310.345
05-17-12,313.595
05-18-12,306.135
05-21-12,302.79
05-22-12,301.325
05-23-12,300.555
05-24-12,301.57
05-25-12,296.39
05-29-12,295.755
05-30-12,292.76
05-31-12,291.16
06-01-12,284.185
06-04-12,286.55
06-05-12,285.085
06-06-12,287.815
06-07-12,290.2
06-08-12,287.82
06-11-12,286.93
06-12-12,281.17
06-13-12,280.37
06-14-12,279.35
06-15-12,279.355
06-18-12,282.305
06-19-12,288.27
06-20-12,287.3
06-21-12,284.825
06-22-12,283.26
06-25-12,280.305
06-26-12,280.47
06-27-12,283.935
06-28-12,279.81
06-29-12,287.005
07-02-12,288.79
07-03-12,290.515
07-05-12,296.04
07-06-12,292.985
07-09-12,291.37
07-10-12,291.7
07-11-12,284.635
07-12-12,282.45
07-13-12,285.85
07-16-12,286.665
07-17-12,286.195
07-18-12,288.875
07-19-12,295.015
07-20-12,301.65
07-23-12,303.015
07-24-12,304.425
07-25-12,303.545
07-26-12,305.58
07-27-12,311.955
07-30-12,316.835
07-31-12,315
08-01-12,316.535
08-02-12,314.18
08-03-12,318.77
08-06-12,320.95
08-07-12,318.99
08-08-12,319.895
08-09-12,320.77
08-10-12,318.4
08-13-12,325.485
08-14-12,331.72
08-15-12,333.34
08-16-12,334.175
08-17-12,335.98
08-20-12,336.62
08-21-12,333.79
08-22-12,335.57
08-23-12,336.61
08-24-12,337.365
08-27-12,331.57
08-28-12,334.335
08-29-12,340.01
08-30-12,340.615
08-31-12,340.875
09-04-12,338.355
09-05-12,340.135
09-06-12,344.865
09-07-12,351.165
09-10-12,351.48
09-11-12,346.615
09-12-12,342.665
09-13-12,348.58
09-14-12,353.675
09-17-12,353.145
09-18-12,355.03
09-19-12,359.895
09-20-12,361.79
09-21-12,364.895
09-24-12,368.69
09-25-12,376.725
09-26-12,374.16
09-27-12,377.21
09-28-12,376.2
10-01-12,378.88
10-02-12,377.645
10-03-12,377.615
10-04-12,380.895
10-05-12,383.41
10-08-12,378.015
10-09-12,374.56
10-10-12,370.07
10-11-12,375.785
10-12-12,373.345
10-15-12,367.26
10-16-12,369.475
10-17-12,372.755
10-18-12,357.515
10-19-12,343.39
10-22-12,337.32
10-23-12,338.565
10-24-12,339.295
10-25-12,337.615
10-26-12,337.295
10-31-12,337.735
11-01-12,341.125
11-02-12,344.44
11-05-12,339.335
11-06-12,339.74
11-07-12,334.925
11-08-12,329.445
11-09-12,328.43
11-12-12,331.425
11-13-12,330.22
11-14-12,326.945
11-15-12,324.76
11-16-12,321.05
11-19-12,329.875
11-20-12,334.385
11-21-12,331.31
11-23-12,332.78
11-26-12,330.265
11-27-12,332.005
11-28-12,335.945
11-29-12,342.69
11-30-12,344.93
12-03-12,348.695
12-04-12,344.015
12-05-12,342.92
12-06-12,343.745
12-07-12,343.54
12-10-12,342.575
12-11-12,346.115
12-12-12,347.945
12-13-12,352.685
12-14-12,350.25
12-17-12,355.155
12-18-12,359.69
12-19-12,358.575
12-20-12,359.06
12-21-12,356
12-24-12,354.33
12-26-12,352.5
12-27-12,350.55
12-28-12,350.42
12-31-12,350.33
01-02-13,359.54
01-03-13,361.805
01-04-13,365.915
01-07-13,366.12
01-08-13,363.82
01-09-13,365.37
01-10-13,368.245
01-11-13,368.305
01-14-13,364.77
01-15-13,360.425
01-16-13,358.16
01-17-13,356.33
01-18-13,352.205
01-22-13,348.905
01-23-13,369.81
01-24-13,372.935
01-25-13,375.77
01-28-13,374.47
01-29-13,374.47
01-30-13,377.05
01-31-13,375.56
02-01-13,382.24
02-04-13,380.76
02-05-13,381.22
02-06-13,381.435
02-07-13,384.635
02-08-13,390.095
02-11-13,387.735
02-12-13,390.355
02-13-13,389.87
02-14-13,390.165
02-15-13,393.61
02-19-13,399.075
02-20-13,398.695
02-21-13,397.675
02-22-13,397.275
02-25-13,398.235
02-26-13,393.615
02-27-13,397.475
02-28-13,400.505
03-01-13,399.325
03-04-13,405.44
03-05-13,415.705
03-06-13,416.64
03-07-13,414.995
03-08-13,413.44
03-11-13,416.24
03-12-13,412.345
03-13-13,411.705
03-14-13,409.56
03-15-13,406.885
03-18-13,402.05
03-19-13,404.91
03-20-13,405.715
03-21-13,405.17
03-22-13,404.705
03-25-13,404.995
03-26-13,403.935
03-27-13,400.58
03-28-13,398.175
04-01-13,397.385
04-02-13,403.195
04-03-13,402.21
04-04-13,397.77
04-05-13,389.39
04-08-13,385.545
04-09-13,387.76
04-10-13,390.625
04-11-13,392.82
04-12-13,392.285
04-15-13,392.035
04-16-13,393.505
04-17-13,390.77
04-18-13,385.32
04-19-13,390.96
04-22-13,393.265
04-23-13,402.46
04-24-13,404.98
04-25-13,404.51
04-26-13,399.58
04-29-13,404.905
04-30-13,409.79
05-01-13,408.74
05-02-13,411.86
05-03-13,419.13
05-06-13,425.935
