date,value
01-01-85,72.5052
02-01-85,70.672
03-01-85,62.4502
04-01-85,57.4714
05-01-85,55.3151
06-01-85,58.0904
07-01-85,62.6202
08-01-85,63.2485
09-01-85,60.5846
10-01-85,56.3154
11-01-85,58.0005
12-01-85,68.7145
01-01-86,73.3057
02-01-86,67.9869
03-01-86,62.2221
04-01-86,57.0329
05-01-86,55.8137
06-01-86,59.9005
07-01-86,65.7655
08-01-86,64.4816
09-01-86,61.0005
10-01-86,57.5322
11-01-86,59.3417
12-01-86,68.1354
01-01-87,73.8152
02-01-87,70.062
03-01-87,65.61
04-01-87,60.1586
05-01-87,58.8734
06-01-87,63.8918
07-01-87,68.8694
08-01-87,70.0669
09-01-87,64.1151
10-01-87,60.3789
11-01-87,62.4643
12-01-87,70.5777
01-01-88,79.8703
02-01-88,76.1622
03-01-88,70.2928
04-01-88,63.2384
05-01-88,61.4065
06-01-88,67.1097
07-01-88,72.9816
08-01-88,75.7655
09-01-88,67.5152
10-01-88,63.2832
11-01-88,65.1078
12-01-88,73.8631
01-01-89,77.9188
02-01-89,76.6822
03-01-89,73.3523
04-01-89,65.1081
05-01-89,63.6892
06-01-89,68.4722
07-01-89,74.0301
08-01-89,75.0448
09-01-89,69.3053
10-01-89,65.8735
11-01-89,69.0706
12-01-89,84.1949
01-01-90,84.3598
02-01-90,77.1726
03-01-90,73.1964
04-01-90,67.2781
05-01-90,65.8218
06-01-90,71.4654
07-01-90,76.614
08-01-90,77.1052
09-01-90,73.061
10-01-90,67.4365
11-01-90,68.5665
12-01-90,77.6839
01-01-91,86.0214
02-01-91,77.5573
03-01-91,73.365
04-01-91,67.15
05-01-91,68.8162
06-01-91,74.8448
07-01-91,80.0928
08-01-91,79.1606
09-01-91,73.5743
10-01-91,68.7538
11-01-91,72.5166
12-01-91,79.4894
01-01-92,85.2855
02-01-92,80.1643
03-01-92,74.5275
04-01-92,69.6441
05-01-92,67.1784
06-01-92,71.2078
07-01-92,77.5081
08-01-92,76.5374
09-01-92,72.3541
10-01-92,69.0286
11-01-92,73.4992
12-01-92,84.5159
01-01-93,87.9464
02-01-93,84.5561
03-01-93,79.4747
04-01-93,71.0578
05-01-93,67.6762
06-01-93,74.3297
07-01-93,82.1048
08-01-93,82.0605
09-01-93,74.6031
10-01-93,69.681
11-01-93,74.4292
12-01-93,84.2284
01-01-94,94.1386
02-01-94,87.1607
03-01-94,79.2456
04-01-94,70.9749
05-01-94,69.3844
06-01-94,77.9831
07-01-94,83.277
08-01-94,81.8872
09-01-94,75.6826
10-01-94,71.2661
11-01-94,75.2458
12-01-94,84.8147
01-01-95,92.4532
02-01-95,87.4033
03-01-95,81.2661
04-01-95,73.8167
05-01-95,73.2682
06-01-95,78.3026
07-01-95,85.9841
08-01-95,89.5467
09-01-95,78.5035
10-01-95,73.7066
11-01-95,79.6543
12-01-95,90.8251
01-01-96,98.9732
02-01-96,92.8883
03-01-96,86.9356
04-01-96,77.2214
05-01-96,76.6826
06-01-96,81.9306
07-01-96,85.9606
08-01-96,86.5562
09-01-96,79.1919
10-01-96,74.6891
11-01-96,81.074
12-01-96,90.4855
01-01-97,98.4613
02-01-97,89.7795
03-01-97,83.0125
04-01-97,76.1476
05-01-97,73.8471
06-01-97,79.7645
07-01-97,88.4519
08-01-97,87.7828
09-01-97,81.9386
10-01-97,77.5027
11-01-97,82.0448
12-01-97,92.101
01-01-98,94.792
02-01-98,87.82
03-01-98,86.5549
04-01-98,76.7521
05-01-98,78.0303
06-01-98,86.4579
07-01-98,93.8379
08-01-98,93.531
09-01-98,87.5414
10-01-98,80.0924
11-01-98,81.4349
12-01-98,91.6841
01-01-99,102.1348
02-01-99,91.1829
03-01-99,90.7381
04-01-99,80.5176
05-01-99,79.3887
06-01-99,87.8431
07-01-99,97.4903
08-01-99,96.4157
09-01-99,87.2248
10-01-99,80.6409
11-01-99,82.2025
12-01-99,94.5113
01-01-00,102.2301
02-01-00,94.2989
03-01-00,88.0927
04-01-00,81.4425
05-01-00,84.4552
06-01-00,91.0406
07-01-00,95.9957
08-01-00,99.3704
09-01-00,90.9178
10-01-00,83.1408
11-01-00,88.041
12-01-00,102.4558
01-01-01,109.1081
02-01-01,97.1717
03-01-01,92.8283
04-01-01,82.915
05-01-01,82.5465
06-01-01,90.3955
