date,value
01-07-21,3.526591
02-07-21,3.180891
03-07-21,3.252221
04-07-21,3.611003
05-07-21,3.565869
06-07-21,4.306371
07-07-21,5.088335
08-07-21,2.81452
09-07-21,2.985811
10-07-21,3.20478
11-07-21,3.127578
12-07-21,3.270523
13-07-21,3.73785082
14-07-21,3.55877609
15-07-21,3.77720173
16-07-21,3.92449042
17-07-21,4.38653092
18-07-21,5.81054917
19-07-21,6.19206769
20-07-21,3.45085699
21-07-21,3.77230686
22-07-21,3.7343029
23-07-21,3.90539892
24-07-21,4.04968714
25-07-21,4.31556552
26-07-21,4.56218455
27-07-21,4.60866203
28-07-21,4.66785129
29-07-21,5.09384145
30-07-21,7.1799622
31-07-21,6.73147308
01-08-21,3.84127758
02-08-21,4.39407557
03-08-21,4.07534073
04-08-21,4.5406449
05-08-21,4.64561508
06-08-21,4.75260653
07-08-21,5.35060467
08-08-21,5.20445484
09-08-21,5.3016513
10-08-21,5.77374216
11-08-21,6.20459348
12-08-21,6.74948382
13-08-21,4.21606735
14-08-21,4.94934946
15-08-21,4.8230449
16-08-21,5.19475419
17-08-21,5.17078711
18-08-21,5.25674157
19-08-21,5.85527729
20-08-21,5.49072901
21-08-21,6.11529323
22-08-21,6.08847284
23-08-21,7.41659792
24-08-21,8.32945212
25-08-21,5.06979585
26-08-21,5.26255667
27-08-21,5.59712628
28-08-21,6.110296
29-08-21,5.68916084
30-08-21,6.48684933
31-08-21,6.30056933
01-09-21,6.46747574
02-09-21,6.82862939
03-09-21,6.64907826
04-09-21,8.60693721
05-09-21,8.52447101
06-09-21,5.27791837
07-09-21,5.71430345
08-09-21,6.21452908
09-09-21,6.41192919
10-09-21,6.66771564
11-09-21,7.05083102
12-09-21,6.70491861
13-09-21,7.25098761
14-09-21,7.81973318
15-09-21,7.39810106
16-09-21,10.09623339
17-09-21,8.79851303
18-09-21,5.91826076
19-09-21,6.53449298
20-09-21,6.67573561
21-09-21,7.06420058
22-09-21,7.38338118
23-09-21,7.81349587
24-09-21,7.43189221
25-09-21,8.27511722
26-09-21,8.26044138
27-09-21,8.59615575
28-09-21,10.55893902
29-09-21,10.3914156
30-09-21,6.42153456
01-10-21,8.06261937
02-10-21,7.2977391
03-10-21,7.93691594
04-10-21,8.16532298
05-10-21,8.71742046
06-10-21,9.07096378
07-10-21,9.17711337
08-10-21,9.25188674
09-10-21,9.93313643
10-10-21,11.53297428
11-10-21,12.51146235
12-10-21,7.45719853
13-10-21,8.59119084
14-10-21,8.47400037
15-10-21,9.3868026
16-10-21,9.56039945
17-10-21,10.8342948
18-10-21,10.64375083
19-10-21,9.90816186
20-10-21,11.7100413
21-10-21,11.34015074
22-10-21,12.07913184
23-10-21,14.49758109
24-10-21,8.04927477
25-10-21,10.31289116
26-10-21,9.75335821
27-10-21,10.85038183
28-10-21,9.96171916
29-10-21,11.44360144
30-10-21,11.65923889
31-10-21,10.64705979
01-11-21,12.65213444
02-11-21,13.67446631
03-11-21,12.96573509
04-11-21,16.30026927
05-11-21,9.05348536
06-11-21,10.00244879
07-11-21,10.78875007
08-11-21,12.10670515
09-11-21,10.95410107
10-11-21,12.84456587
11-11-21,12.19649985
12-11-21,12.85474787
13-11-21,13.54200436
14-11-21,13.28764
15-11-21,15.13491784
16-11-21,16.82834968
17-11-21,9.80021461
18-11-21,10.81699371
19-11-21,10.65422256
20-11-21,12.51232269
21-11-21,12.16120969
22-11-21,12.9980462
23-11-21,12.51727568
24-11-21,13.26865761
25-11-21,14.73362169
26-11-21,13.66938174
27-11-21,16.50396561
28-11-21,18.00376795
29-11-21,11.93802987
30-11-21,12.9979001
01-12-21,12.88264507
02-12-21,13.94344681
03-12-21,13.9894722
04-12-21,15.33909742
05-12-21,15.37076394
06-12-21,16.142005
07-12-21,16.685754
08-12-21,17.636728
09-12-21,18.869325
10-12-21,20.778723
11-12-21,12.154552
12-12-21,13.402392
13-12-21,14.459239
14-12-21,14.795102
15-12-21,15.705248
16-12-21,15.82955
17-12-21,17.554701
18-12-21,18.100864
19-12-21,17.496668
20-12-21,19.347265
21-12-21,20.031291
22-12-21,23.486694
23-12-21,12.536987
24-12-21,15.467018
25-12-21,14.233539
26-12-21,17.783058
27-12-21,16.291602
28-12-21,16.980282
29-12-21,18.612189
30-12-21,16.623343
31-12-21,21.430241
01-01-22,23.575517
02-01-22,23.334206
03-01-22,28.038383
04-01-22,16.763869
05-01-22,19.792754
06-01-22,16.427305
07-01-22,21.000742
08-01-22,20.681002
09-01-22,21.83489
10-01-22,23.93020353
11-01-22,22.93035694
12-01-22,23.26333992
13-01-22,25.25003022
14-01-22,25.80609
15-01-22,29.665356
16-01-22,21.654285
17-01-22,18.264945
18-01-22,23.107677
19-01-22,22.91251
20-01-22,19.43174
